,Customer Name,Date,Ratings,Review Title,Reviews
0,Handa,7 September 2018,1.0 out of 5 stars,Damaged product,Received damaged productAll scratched
1,Aishwarya V,26 August 2018,5.0 out of 5 stars,My mother loves it!,"Gifted this to my mother. She was reluctant to use it first as she is used to the usual frying process. But as she got used to it, she loved it! She still thanks me for this (even after 2 years) because this has made her life so much easier. Some yummy snacks can be made in this air fryer with minimal effort. It's especially great if guests are coming over and you quickly want to prepare snacks. Amazing product! And Philips is better than other brands in this category."
2,Anubha Jha,11 January 2019,1.0 out of 5 stars,Broken - Be aware,My product was broken when it arrived. Unfortunately I was out of town (proof of travel available) when the product was delivered and could only check a month later to be shocked and feel so much of my hard earned money was wasted. Its kept untouched and unused. Please help if you can
3,Kshitij Gupta,9 July 2020,4.0 out of 5 stars,No recipe book!!,"It is definitely easy to use n totally mess free but it Is definitely not easy to clean. My biggest complaint is that there is no recipe book with the airfryer. Didn't expect this from a company like Phillips who is a pioneer in this field .After buying a product worth 10 k ,they expect us to search for recipes online!!!"
4,Amazon Customer,27 October 2018,1.0 out of 5 stars,very upset need a refund,Finally unboxed the item and tried to cook fries and found out that the the product was damaged . Really disappointed that I received a defective product after paying so much money. Not worth it at all
5,Abhijit Jaiswal,15 October 2019,1.0 out of 5 stars,Product doesn't work,"We bought this a couple of days back and tried to prepare French fries multiple times, but not even once were the potatoes fully prepared. We prepared it for 45-50 minutes on 180 and 200 degree, but it never worked. It just made the potatoes a little warm and that's all. Philips is not more a trusted brand, the light switches on for just a minute and turns off. The technician even couldn't cook potato fries(very small pieces) himself even after 20-25 minutes. Also the technian/customer support in Bangalore is bossy, even though their visiting hours are from 9-6, the technician says he works only between 12-4 and is not ready to come after 4. Philips isn't doing things correctly."
6,Siddhartha Sengupta,28 December 2019,1.0 out of 5 stars,Used product delivered,"Not at all a pleasant experience as it seems I have received an Used product. There area) Scratches all over the bodyb) Tray when opened couldn’t be closed completely due to a loose part in the Tray compartment which was obstructing Tray closure.c) Box should have User Manual, Recipe Book (as shown in unboxing videos). There are no such things present inside the box.Have ordered for a replacement."
7,COLONEL,18 August 2017,5.0 out of 5 stars,Should have been supplied with a Separator as shown in ...,"Should have been supplied with a Separator as shown in the VIDEO.And also an additional Roasting  Rack, which was advertised separately,Cost at Rs 900/- considered too high.At additional discounted cost, however."
8,abilash shrestha,17 March 2019,5.0 out of 5 stars,Nice fryer . Easy to clean.,It is nice airfryer come with heavy socket electric cord .Arrived in safe package in big box without any damaged . Come with indian receipe book. I tried fish with it and it is tasty. Just follow the book for use. Easy to clean .
9,tthato,7 December 2018,1.0 out of 5 stars,Waste product,Air frier technology is not at all good for frying. It use heat & high speed air  which make the food very dry.For healthy cooking (oil less) micro oven is best.
