,Customer Name,Date,Ratings,Review Title,Reviews
0,Unknown ,11 August 2019,5.0 out of 5 stars,Dream come true product,It's a dream come true product. I bought it as deal of the day and functions are amazing. Easy to use. I have even used their semi auto washing machine. Thanx amazon for selling it
1,Viraj Patel,3 January 2021,5.0 out of 5 stars,Superb OTG with Premium Quality,"Superb looks, functions really well. I am an experienced baker, I tend to use my OTGs heavily, almost daily! This one is performing as expected. Little bit pricy but worth it, Gives posh look in your kitchen.Widebody, let's me cook delicious Cast iron pizzas in it. I can bake a lot of stuff at a time. Must buy!"
2,Amazon Customer,21 July 2019,5.0 out of 5 stars,Excellent Product,Product meets our expectation. It's easy to use and performance is excellent
3,Devanu,7 February 2021,5.0 out of 5 stars,Really happy with the purchase,"We were apprehensive about buying an air fryer, having spent the last three decades frying fish in a kadhai with abundant cooking oil. However, purchasing an air fryer has been quite an epiphany. It's really easy to use and the fried fish came out really well and flavorful. The end product was in some ways even better than the output with cooking gas. We are really happy with this purchase."
4,Mihir Patil,20 August 2020,4.0 out of 5 stars,Good product at a great price,"My friend has this Inalsa air fryer since over a year and considering he was very happy with the purchase, I bought this air fryer too at a price of 4377 (plus additional 10% sbi discount). It got delivered in a day. To my utter disappointment, the air fryer stopped working on the first day itself. It was simply dead. I ordered replacement and the replacement air fryer came in another 24 hours. I was kinda sceptical at this point and tried the air fryer, immediately after it arrived. To my surprise, it had few minor scratches here and there but I paid least attention towards them and tried using the air fryer. It worked! I am writing this review after around 2-3 months of usage and can say that it is working quite nicely. Have made many dishes and the experience has been good. It's not very good when it comes to deep fried items like Pakora or Samosas but it definitely is a good replacement for normal shallow frying and grilling. Overall, I am quite satisfied with the purchase."
5,Shashikant Yeole,18 August 2020,5.0 out of 5 stars,Better than expected,"Excellent way for cooking for veg and Non-veg families. What a perfect nonveg chicken tikka prepared, better than eating outside in hotel, fish fry perfect. Also tried french fries, veg cheese balls, all cooked so well. Remains hot from inside for much longer time than we do fry on pan or even in tandoor. So happy to buy and eat food cooked in this air fryer.Cons: The lock for frying pan gets stuck, manufacturer Inalsa must think of this point to avoid annoyance of the user.Also they should try to use electronic timer instead of mechanical one for these product if not done already."
6,Amazon Customer,28 July 2019,1.0 out of 5 stars,Poor design and Quality. Look for something Better.,"An impulse purchase based on Inalsa Brand name but I am disappointed. Product got delivered on evening of 27July 2019 yesterday and opened this morning 28th. Tried cooking french fries and the product worked flawlessly for the first 10 mins. As after 10 mins, I had to shake the fries, it stopped working and took lots of adjustment which was a mood spoiler. The next lot i.e. third time it stopped working at all and it's all due to poor mechanism.To summarise:- Product is easy to use and clean provided it's in use.-If it works well, don't expect it to be a lasting product as build quality is filmsy.- The unlock mechanism of fryer is faulty and can lead to unlocking of fryer from base and base will fall down too while removing contents.Based on the above retuning my product and will look for something better."
7,Rajesh Kumar Dhunna,30 January 2021,5.0 out of 5 stars,Digital ease and 4l size,Excellent all rounder.. Worth every penny.. This 4l model with digital ease is far superior to philips model.. which is expensive as well.. Good size for the family of 4 and few guests.. Go for it..
8,MANISHA J.,14 April 2019,4.0 out of 5 stars,Value for money,"Nice thing. We are fond of eating French fries, potato cutlets, samosas and other stuff, it saves a great deal on oil.Best product for the price.Though it they could have arranged for a demo, it would have been the best.Demo person didn't come even after multiple mails and calls. He fixed a date too and even then didn't show up."
9,Nabeel Sultan,7 July 2019,1.0 out of 5 stars,Loose body. Top cover not closing tightly,Paint of the baking tray coming off.  If its paint then too much bad for health.Then rust developing and that too is ferric red color type rust.Don't know what happened when I used itfor the second time since delivery of the product.  But may be while delivery or manufacturing defect. Top cover not closing completely and due to this the power is turning off. Has to put heavy object over it to let it continue operation. Waiting for Amazon's approval for return or repair.Need to operate for too long to cook completely. The timer is only 30 minutes but one cycle of 30 minutes is enough only for streaming the food. For frying the food it takes more than 1 cycle of 30 minutes
